Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-09-20T15:40:10+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3BU2 220920C3930,Future Option,Sold 2 /ESZ2 E3BU2 09/20/22 Call 3930.00 @ 2.25,225.00,2,112.50,0.00,-1.74,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3930.0,CALL,233658951
2022-09-20T15:40:10+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3BU2 220920P3840,Future Option,Sold 2 /ESZ2 E3BU2 09/20/22 Put 3840.00 @ 5.75,575.00,2,287.50,0.00,-1.74,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3840.0,PUT,233658951
2022-09-20T15:16:44+0200,Trade,BUY_TO_OPEN,./ESZ2 E3BU2 220920C3930,Future Option,Bought 2 /ESZ2 E3BU2 09/20/22 Call 3930.00 @ 4.0,-400.00,2,-200.00,-5.00,-1.74,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3930.0,CALL,233658909
2022-09-20T15:16:44+0200,Trade,BUY_TO_OPEN,./ESZ2 E3BU2 220920P3840,Future Option,Bought 2 /ESZ2 E3BU2 09/20/22 Put 3840.00 @ 3.25,-325.00,2,-162.50,-5.00,-1.74,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3840.0,PUT,233658909
2022-09-19T16:23:41+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919C3895,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Call 3895.00 @ 8.95,895.00,2,447.50,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3895.0,CALL,233515540
2022-09-19T16:23:41+0200,Trade,BUY_TO_CLOSE,./ESZ2 E3AU2 220919C3885,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Call 3885.00 @ 13.1,"-1,310.00",2,-655.00,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3885.0,CALL,233515540
2022-09-19T16:20:08+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919C3895,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Call 3895.00 @ 9.1,-910.00,2,-455.00,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3895.0,CALL,233513434
2022-09-19T16:20:08+0200,Trade,SELL_TO_OPEN,./ESZ2 E3AU2 220919C3885,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Call 3885.00 @ 13.4,"1,340.00",2,670.00,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3885.0,CALL,233513434
2022-09-19T16:10:41+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3BU2 220920P3845,Future Option,Sold 1 /ESZ2 E3BU2 09/20/22 Put 3845.00 @ 14.75,737.50,1,737.50,0.00,-0.87,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3845.0,PUT,233507014
2022-09-19T16:09:33+0200,Trade,BUY_TO_OPEN,./ESZ2 E3BU2 220920P3845,Future Option,Bought 1 /ESZ2 E3BU2 09/20/22 Put 3845.00 @ 16.0,-800.00,1,-800.00,-2.50,-0.87,1,"./ESZ2 E3BU2 ",/ESZ2,9/20/22,3845.0,PUT,233506343
2022-09-19T16:07:06+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919P3840,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Put 3840.00 @ 4.3,430.00,2,215.00,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3840.0,PUT,233504372
2022-09-19T16:03:15+0200,Trade,BUY_TO_CLOSE,./ESZ2 E3AU2 220919P3850,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Put 3850.00 @ 8.5,-850.00,2,-425.00,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3850.0,PUT,233501950
2022-09-19T15:51:23+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919P3840,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Put 3840.00 @ 4.55,-455.00,2,-227.50,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3840.0,PUT,233492263
2022-09-19T15:51:23+0200,Trade,SELL_TO_OPEN,./ESZ2 E3AU2 220919P3850,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Put 3850.00 @ 6.5,650.00,2,325.00,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3850.0,PUT,233492263
2022-09-19T15:42:48+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919C3905,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Call 3905.00 @ 6.25,625.00,2,312.50,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3905.0,CALL,233484817
2022-09-19T15:40:23+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919P3815,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Put 3815.00 @ 3.1,310.00,2,155.00,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3815.0,PUT,233482343
2022-09-19T15:16:41+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919C3905,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Call 3905.00 @ 4.75,-475.00,2,-237.50,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3905.0,CALL,233469686
2022-09-19T15:16:41+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919P3815,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Put 3815.00 @ 4.75,-475.00,2,-237.50,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3815.0,PUT,233469686
2022-09-16T15:33:35+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919C3960,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Call 3960.00 @ 5.25,525.00,2,262.50,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3960.0,CALL,233238012
2022-09-16T15:33:35+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AU2 220919P3760,Future Option,Sold 2 /ESZ2 E3AU2 09/19/22 Put 3760.00 @ 5.25,525.00,2,262.50,0.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3760.0,PUT,233238012
2022-09-16T15:20:54+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919C3960,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Call 3960.00 @ 5.25,-525.00,2,-262.50,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3960.0,CALL,233230246
2022-09-16T15:20:54+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AU2 220919P3760,Future Option,Bought 2 /ESZ2 E3AU2 09/19/22 Put 3760.00 @ 4.25,-425.00,2,-212.50,-5.00,-1.74,1,"./ESZ2 E3AU2 ",/ESZ2,9/19/22,3760.0,PUT,233230246
2022-09-15T16:00:30+0200,Trade,SELL_TO_CLOSE,./ESU2 E3DU2 220915C3970,Future Option,Sold 2 /ESU2 E3DU2 09/15/22 Call 3970.00 @ 9.5,950.00,2,475.00,0.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3970.0,CALL,233042301
2022-09-15T15:59:40+0200,Trade,BUY_TO_OPEN,./ESU2 E3DU2 220915C3970,Future Option,Bought 2 /ESU2 E3DU2 09/15/22 Call 3970.00 @ 8.0,-800.00,2,-400.00,-5.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3970.0,CALL,233041608
2022-09-15T15:57:22+0200,Trade,SELL_TO_CLOSE,./ESU2 E3DU2 220915C3975,Future Option,Sold 2 /ESU2 E3DU2 09/15/22 Call 3975.00 @ 5.75,575.00,2,287.50,0.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3975.0,CALL,233039919
2022-09-15T15:50:55+0200,Trade,SELL_TO_CLOSE,./ESU2 E3DU2 220915P3885,Future Option,Sold 2 /ESU2 E3DU2 09/15/22 Put 3885.00 @ 1.6,160.00,2,80.00,0.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3885.0,PUT,233033771
2022-09-15T15:19:55+0200,Trade,BUY_TO_OPEN,./ESU2 E3DU2 220915C3975,Future Option,Bought 2 /ESU2 E3DU2 09/15/22 Call 3975.00 @ 4.0,-400.00,2,-200.00,-5.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3975.0,CALL,233011182
2022-09-15T15:19:55+0200,Trade,BUY_TO_OPEN,./ESU2 E3DU2 220915P3885,Future Option,Bought 2 /ESU2 E3DU2 09/15/22 Put 3885.00 @ 4.5,-450.00,2,-225.00,-5.00,-1.74,1,"./ESU2 E3DU2 ",/ESU2,9/15/22,3885.0,PUT,233011182
2022-09-14T15:33:26+0200,Trade,SELL_TO_CLOSE,./ESU2 E2CU2 220914C3995,Future Option,Sold 2 /ESU2 E2CU2 09/14/22 Call 3995.00 @ 2.75,275.00,2,137.50,0.00,-1.74,1,"./ESU2 E2CU2 ",/ESU2,9/14/22,3995.0,CALL,232810331
2022-09-14T15:33:26+0200,Trade,SELL_TO_CLOSE,./ESU2 E2CU2 220914P3885,Future Option,Sold 2 /ESU2 E2CU2 09/14/22 Put 3885.00 @ 5.0,500.00,2,250.00,0.00,-1.74,1,"./ESU2 E2CU2 ",/ESU2,9/14/22,3885.0,PUT,232810331
2022-09-14T15:16:36+0200,Trade,BUY_TO_OPEN,./ESU2 E2CU2 220914C3995,Future Option,Bought 2 /ESU2 E2CU2 09/14/22 Call 3995.00 @ 3.0,-300.00,2,-150.00,-5.00,-1.74,1,"./ESU2 E2CU2 ",/ESU2,9/14/22,3995.0,CALL,232810252
2022-09-14T15:16:36+0200,Trade,BUY_TO_OPEN,./ESU2 E2CU2 220914P3885,Future Option,Bought 2 /ESU2 E2CU2 09/14/22 Put 3885.00 @ 3.75,-375.00,2,-187.50,-5.00,-1.74,1,"./ESU2 E2CU2 ",/ESU2,9/14/22,3885.0,PUT,232810252
